Date,Alabama Per 100K Residents,Alaska Per 100K Residents,Arkansas Per 100K Residents,Arizona Per 100K Residents,California Per 100K Residents,Colorado Per 100K Residents,Connecticut Per 100K Residents,Delaware Per 100K Residents,District of Columbia Per 100K Residents,Florida Per 100K Residents,Georgia Per 100K Residents,Hawaii Per 100K Residents,Idaho Per 100K Residents,Illinois Per 100K Residents,Indiana Per 100K Residents,Iowa Per 100K Residents,Kansas Per 100K Residents,Kentucky Per 100K Residents,Louisiana Per 100K Residents,Maine Per 100K Residents,Maryland Per 100K Residents,Massachusetts Per 100K Residents,Michigan Per 100K Residents,Minnesota Per 100K Residents,Mississippi Per 100K Residents,Missouri Per 100K Residents,Montana Per 100K Residents,North Carolina Per 100K Residents,North Dakota Per 100K Residents,Nebraska Per 100K Residents,New Hampshire Per 100K Residents,New Jersey Per 100K Residents,New Mexico Per 100K Residents,Nevada Per 100K Residents,New York Per 100K Residents,Ohio Per 100K Residents,Oklahoma Per 100K Residents,Oregon Per 100K Residents,Pennsylvania Per 100K Residents,Puerto Rico Per 100K Residents,Rhode Island Per 100K Residents,South Carolina Per 100K Residents,South Dakota Per 100K Residents,Tennessee Per 100K Residents,Texas Per 100K Residents,Utah Per 100K Residents,Vermont Per 100K Residents,Virginia Per 100K Residents,Washington Per 100K Residents,West Virginia Per 100K Residents,Wisconsin Per 100K Residents,Wyoming Per 100K Residents,Total Per 100K Residents,Alabama Percent of Labor Force,Alaska Percent of Labor Force,Arkansas Percent of Labor Force,Arizona Percent of Labor Force,California Percent of Labor Force,Colorado Percent of Labor Force,Connecticut Percent of Labor Force,Delaware Percent of Labor Force,District of Columbia Percent of Labor Force,Florida Percent of Labor Force,Georgia Percent of Labor Force,Hawaii Percent of Labor Force,Idaho Percent of Labor Force,Illinois Percent of Labor Force,Indiana Percent of Labor Force,Iowa Percent of Labor Force,Kansas Percent of Labor Force,Kentucky Percent of Labor Force,Louisiana Percent of Labor Force,Maine Percent of Labor Force,Maryland Percent of Labor Force,Massachusetts Percent of Labor Force,Michigan Percent of Labor Force,Minnesota Percent of Labor Force,Mississippi Percent of Labor Force,Missouri Percent of Labor Force,Montana Percent of Labor Force,North Carolina Percent of Labor Force,North Dakota Percent of Labor Force,Nebraska Percent of Labor Force,New Hampshire Percent of Labor Force,New Jersey Percent of Labor Force,New Mexico Percent of Labor Force,Nevada Percent of Labor Force,New York Percent of Labor Force,Ohio Percent of Labor Force,Oklahoma Percent of Labor Force,Oregon Percent of Labor Force,Pennsylvania Percent of Labor Force,Puerto Rico Percent of Labor Force,Rhode Island Percent of Labor Force,South Carolina Percent of Labor Force,South Dakota Percent of Labor Force,Tennessee Percent of Labor Force,Texas Percent of Labor Force,Utah Percent of Labor Force,Vermont Percent of Labor Force,Virginia Percent of Labor Force,Washington Percent of Labor Force,West Virginia Percent of Labor Force,Wisconsin Percent of Labor Force,Wyoming Percent of Labor Force,Total Percent of Labor Force
1/4/2020,93.36788230507312,134.09974779405232,85.36008302726088,43.029561391107805,92.93326776374997,42.21412476626816,220.23472444153862,89.85750140691174,68.15454219559645,21.50133414893757,160.67929101063413,128.8958323916286,165.46684088155718,92.95428020960838,65.86238504718875,145.3533519066138,69.30251939887015,115.83211215323949,35.6651639113284,123.7156043838323,66.11332389408636,137.30860907858872,132.2438080369029,129.3169483398917,39.58135160571597,112.79175283122542,145.4932642700355,33.447481923295044,109.7023601754188,56.81324725704195,50.74607765914963,172.53627765224567,38.10515783595134,73.50277063888971,189.7997148729699,92.04301443224885,74.37507123504318,159.18488990660157,213.2324906700045,29.078805266775024,186.14995266014134,145.1041949504284,44.98908619027218,45.15919494802739,42.65088548266563,47.349341444897284,108.97628003057746,37.3498084885055,131.63678071379334,87.2696268777059,220.7667789793753,114.38267050706771,99.83849933017085,0.0020401369538856854,0.0028400044004145654,0.0018840352876298748,0.0008668557216629238,0.001881533293864859,0.0007629249242331757,0.00406735692248401,0.0017889746006497557,0.0011608823671380992,0.0004416798486773085,0.0033086375026885103,0.002727654530970462,0.003316323669601301,0.0018408018200793206,0.001305639869542019,0.0026164389501381817,0.001349141701308447,0.002483258995515738,0.0007858393456204861,0.002392723128985474,0.001218422598462233,0.0024678525953522284,0.0026680791910631166,0.002336557139282578,0.0009228178061534243,0.00240183765968332,0.0028939762489229013,0.0006858811138099268,0.0020667797297364114,0.0010542805806121735,0.0008851953010241325,0.0033576250844062033,0.0008308135109617472,0.0014517184974200577,0.004695053422119809,0.0018457518286392955,0.0015957438156116123,0.003188845784112196,0.004162416903761378,0.000813317429306697,0.0035311897889165047,0.003123548444685264,0.000852138911488888,0.000916245260198502,0.0008709089918061175,0.0009308908588725305,0.0019991356678142097,0.0007143630214508336,0.0025296522485236967,0.0019392027694394539,0.00413434332160746,0.0022503764791466244,0.002028677751823253
1/11/2020,167.38099826949218,321.51132192824775,167.96982176443532,106.9694013381754,224.520397143942,94.32625492816479,388.1314463604192,203.54007747257035,168.1901072477609,53.450696411824026,329.8540521555937,257.8622926366225,284.7126433565651,193.2003300867334,138.4981682859693,298.63045827826323,142.75838443779148,204.64792297914371,89.89428225901169,239.84311998405013,142.64731179949982,264.75142629607853,274.88127646165356,234.51884803831172,90.48606101374628,277.48219953274577,309.6994885748023,77.57374940932968,310.4734260466996,117.34856348815761,103.84559660104242,324.1768077467381,95.0482848148323,164.14753019002933,288.47051165637134,177.2249360515352,125.77802566660205,306.5387908255067,419.1067497402162,57.578079830695216,357.6684435239734,235.0101403962232,97.89082573059224,99.49958809074128,118.18575196939177,104.55533104301428,212.9845237656433,80.0302828685637,250.73234778216843,234.46737349112544,362.54597304151497,257.62018387619025,200.42259984116433,0.003657362162634299,0.0068090625379970005,0.0037073660221257124,0.00215496125442769,0.0045456553131436065,0.001704733931894122,0.00716812087281377,0.004052283038271789,0.002864797026596515,0.0010979828200120185,0.006792210001122919,0.005456803667163374,0.005706274883642685,0.0038260047677376625,0.002745553934057236,0.00537550976628913,0.002779138353512546,0.004387330820483168,0.0019807132842870998,0.004638688735928543,0.0026288907903773574,0.004758386956887939,0.0055458552247342075,0.00423739266751013,0.0021096335755273104,0.005908829147524378,0.0061601680925625745,0.0015907436550620197,0.005849283302100897,0.002177631408543798,0.0018114431377479348,0.0063086105501071596,0.0020723546024364985,0.003242000319326772,0.007135861420231151,0.0035539171746530014,0.002698612630071014,0.006140689178252395,0.008181197031079675,0.0016104257187561678,0.006784826627892818,0.005058885849376482,0.0018541515008778315,0.002018769955593003,0.0024132918444411612,0.0020555640045722807,0.003907134268419242,0.0015306818693634394,0.004818301115429264,0.005210057568532343,0.006789470450895587,0.00506844611844051,0.004072505816776373
1/18/2020,218.02155129777887,482.95046784545036,225.26313836153705,164.01242141987385,388.6670714528008,138.12058757338414,494.04157365171443,288.7763359499838,252.3560075891004,81.79632705251954,406.71827806050493,345.01706368937306,406.2527104498157,310.05014985612564,194.06677055514683,413.2079478426786,225.20744416839378,273.6771469174221,133.08828053039133,311.1860331554844,204.49312566989983,365.44053734905884,378.05688015759114,313.655217219847,128.62259248444886,352.00262707898486,425.34558158944145,117.78128397903754,413.4834173597424,168.4236210768359,148.9287061735913,444.9578313456479,140.21171969674208,243.72142190200756,363.90199536017866,244.50984250284452,175.84157174768276,402.5855571364454,545.7901893213625,164.07536899060753,470.377897619414,295.7243303861896,136.09763762082338,144.79057057266368,172.61762110280424,150.03315701578123,333.9802464466521,113.19756888831247,369.9592364593961,340.20646743821794,472.2595395671295,367.5104836382674,284.26045018863323,0.0047638846738833505,0.01022806885490791,0.004971922315725112,0.0033041263107317954,0.007868980105449898,0.0024962175431306787,0.009124098934364918,0.005749253230888129,0.004298402278322151,0.001680258029788427,0.00837496443602567,0.007301146511666141,0.008142208265575058,0.006140017209363819,0.0038471323625544605,0.0074379665488337274,0.004384209362201447,0.00586720922476733,0.00293244151468875,0.006018497202974286,0.0037686661458065014,0.006568075990250626,0.007627470124765581,0.005667264395553205,0.0029987661816258983,0.007495700215696205,0.008460460467912224,0.0024152478332081033,0.007789979579425159,0.0031254286912051512,0.0025978557747447367,0.008659057656502576,0.0030570609790081813,0.004813626660835854,0.009001801239667475,0.004903191097159559,0.0037727439582146104,0.008064730624698403,0.010654128284109275,0.004589093537225243,0.008922879674528877,0.006365834375422009,0.0025778272598809574,0.0029376890832823565,0.003524762420787563,0.0029496607583510354,0.006126762840771784,0.0021650487808211904,0.007109473577953869,0.0075596670621945975,0.008844098204001892,0.0072304392313366625,0.005776056880761566
1/25/2020,261.4423073981504,620.0575494330492,281.03216776172343,211.75435176281755,504.06427398428076,175.69827823327898,576.7558123651756,357.9922856051364,328.02030183535504,106.0353797981603,456.23123426466105,416.6337070017629,508.1516341039638,387.0872229019018,237.97502725327269,511.9379284770227,312.97690533873106,331.17911718247956,173.4858546108948,381.41305091756357,258.7963636844821,452.8108293895556,454.93792491471544,383.35834678574776,161.9878574627816,434.611946720158,511.6123273495525,149.66508658778858,484.73746230621657,218.05120739781884,191.3641943030541,549.943200944812,176.64769039344648,311.9322527820019,427.47893236284904,313.68539921807496,222.0890676226841,508.25833853557015,650.1411616585516,243.67561552978654,569.3054586680083,339.38571845319046,168.9916679760224,181.16392992768965,217.69298887659252,189.6780931004087,416.9945303522979,149.0360457284437,475.9620391251722,412.1871699140751,577.6106693523706,459.2585169301903,352.25546649982033,0.005712650854491175,0.013131763466137073,0.006202835122045407,0.004265915465514254,0.01020531975869233,0.003175349396705583,0.010651688792287147,0.007127274808988626,0.005587198918762369,0.0021781760229053755,0.009394513518770893,0.008816676207230003,0.010184489429708966,0.007665605745539584,0.00471755894224914,0.009215159599352794,0.006092854894764943,0.007099961371526737,0.003822553873600253,0.00737672368148438,0.004769437071688791,0.008138385407961015,0.009178580295809922,0.006926692081624755,0.0037766592898689803,0.00925481974327267,0.010176374359556543,0.0030690638094282843,0.009132397513930985,0.004046365322131163,0.00333808430907941,0.010702115008025436,0.0038514809068864978,0.006160826556189008,0.010574496519226049,0.006290378501786137,0.004765000561194308,0.010181603675009403,0.012691117346214493,0.006815466570556002,0.010799495748963205,0.007305700110083029,0.003200873549436903,0.0036756765107574143,0.00444517808529035,0.0037290825512541884,0.007649633834783197,0.0028505056448795657,0.009146519961641347,0.009159137377141462,0.010817029737745487,0.009035499518990527,0.007157687992515261
2/1/2020,305.6992546681392,773.4315729039225,341.9042456037569,264.0575255226986,614.0504926791893,211.27900289230135,660.7322215574791,421.86813231953533,404.39306325620015,131.44308452980871,505.1979185533062,496.7963205713511,589.0664301522328,460.81774671533003,282.7745205555553,609.1148532362198,381.62724649660146,389.9345363906445,217.75540064799603,446.95330796035154,311.7763427769912,532.9413712260989,523.7183229919083,448.96546441328087,194.3451083934306,507.06487759287853,596.0077771061905,184.09463539765702,543.3941070411594,261.1134776117551,224.90073258214431,643.4336576902768,214.0374823125777,386.1492729589021,497.5015939730994,376.3848371559829,267.0476988585461,623.3200410551914,774.2859332249075,311.78751813590196,660.9644870823071,380.1531799979568,193.5208933611708,215.75083604547197,265.34803339826095,229.9156757512107,494.0792225503975,179.2040999498683,562.8838120246733,488.2969979583148,685.4693415159364,550.6609832417294,419.1162995451314,0.006679688248534849,0.01637996421768156,0.007546380472734879,0.005319593540983843,0.012432108263179777,0.003818390601869621,0.012202588770116634,0.00839898018225051,0.006888062943476372,0.002700100434822238,0.010402814009771923,0.010513053134710263,0.011806201985083833,0.009125713683819666,0.0056056531791771344,0.010964396804133357,0.007429300364114568,0.008359585499686894,0.004797980516113499,0.008644305808144754,0.005745821255545317,0.009578574533503107,0.010566256222470977,0.008112111170524457,0.004531051095748223,0.010797664619395176,0.011855066691729184,0.003775083393797625,0.010237481890955118,0.004845469711257587,0.003923082942799706,0.012521476750335981,0.004666697167955346,0.00762665185879601,0.012306638937033038,0.007547699363585319,0.00572960411130408,0.012486558782292169,0.015114492386564685,0.008720517243187632,0.01253823068052402,0.008183270473540982,0.0036654819509270757,0.004377418178912039,0.005418269412918467,0.004520155810770371,0.009063728329222366,0.0034275083990313523,0.010816887901882602,0.010850360252790703,0.012836920515689694,0.010833761086163584,0.008516272961013501
2/8/2020,350.0785713775842,907.3946237073591,399.0318788098896,314.01138414915704,716.2770872193144,254.37873866765207,743.3062191066246,484.3062590114237,476.37332819458476,157.5398748946409,557.7247887740745,577.1001898476699,669.8133531796549,538.1073485807605,323.2515163276774,684.5173007254989,453.9503809064179,455.6510738364245,256.58267499054597,499.1772131181689,363.87966283362664,618.2224367548334,590.0755362773293,521.8070966332555,226.87036166536018,562.4496424966245,683.490865268559,215.80681466700685,612.4173623668415,296.0078742436963,262.18806790560643,748.002463356447,255.67177867150824,476.8589642862245,561.0277439138583,434.77256589472245,310.3889313315665,740.7526832517058,886.9637366506096,372.12689131549376,751.4907571639885,420.04663688835694,218.7283461763233,247.3944872395988,313.1789649709212,270.5587534209743,570.2023593364627,215.48777526006327,656.9232161239823,555.5905849241161,798.4633230707295,652.4304589647851,484.44692313826704,0.007649399478691086,0.019217073608513643,0.008807279865543072,0.006325943286822409,0.014501794886431121,0.004597320944093703,0.013727588614715834,0.009642061961901998,0.008114109185692909,0.0032361800259517997,0.011484424288347176,0.012212419272635422,0.013424549991588628,0.010656303124846653,0.0064080592785235495,0.012321681641110839,0.0088372456660744,0.009768445095983359,0.005653493193342073,0.009654342871613066,0.006706049222809774,0.011111334207581763,0.011905043289872753,0.00942824674274067,0.005289359785354772,0.011977052391811257,0.013595174597030092,0.004425380025648199,0.01153787200799023,0.005493003279877439,0.004573509055291351,0.014556427600839396,0.005574457111722061,0.009418216117537901,0.013878077902961288,0.008718556899644729,0.006659505791145709,0.014839009358507198,0.017314025826258357,0.010408174745969407,0.014255477641766883,0.00904202679871613,0.004142936667665824,0.005019443473104309,0.006394952263032403,0.005319201126390204,0.010460183391298467,0.004121480255189831,0.012624034724675718,0.012345679012345678,0.014952981252647489,0.012835984267760808,0.009843764695017179
