Date,Alabama Total Claims,Alaska Total Claims,Arkansas Total Claims,Arizona Total Claims,California Total Claims,Colorado Total Claims,Connecticut Total Claims,Delaware Total Claims,District of Columbia Total Claims,Florida Total Claims,Georgia Total Claims,Hawaii Total Claims,Idaho Total Claims,Illinois Total Claims,Indiana Total Claims,Iowa Total Claims,Kansas Total Claims,Kentucky Total Claims,Louisiana Total Claims,Maine Total Claims,Maryland Total Claims,Massachusetts Total Claims,Michigan Total Claims,Minnesota Total Claims,Mississippi Total Claims,Missouri Total Claims,Montana Total Claims,North Carolina Total Claims,North Dakota Total Claims,Nebraska Total Claims,New Hampshire Total Claims,New Jersey Total Claims,New Mexico Total Claims,Nevada Total Claims,New York Total Claims,Ohio Total Claims,Oklahoma Total Claims,Oregon Total Claims,Pennsylvania Total Claims,Puerto Rico Total Claims,Rhode Island Total Claims,South Carolina Total Claims,South Dakota Total Claims,Tennessee Total Claims,Texas Total Claims,Utah Total Claims,Vermont Total Claims,Virgin Islands Total Claims,Virginia Total Claims,Washington Total Claims,West Virginia Total Claims,Wisconsin Total Claims,Wyoming Total Claims,Total Total Claims,Alabama New Claims,Alaska New Claims,Arkansas New Claims,Arizona New Claims,California New Claims,Colorado New Claims,Connecticut New Claims,Delaware New Claims,District of Columbia New Claims,Florida New Claims,Georgia New Claims,Hawaii New Claims,Idaho New Claims,Illinois New Claims,Indiana New Claims,Iowa New Claims,Kansas New Claims,Kentucky New Claims,Louisiana New Claims,Maine New Claims,Maryland New Claims,Massachusetts New Claims,Michigan New Claims,Minnesota New Claims,Mississippi New Claims,Missouri New Claims,Montana New Claims,North Carolina New Claims,North Dakota New Claims,Nebraska New Claims,New Hampshire New Claims,New Jersey New Claims,New Mexico New Claims,Nevada New Claims,New York New Claims,Ohio New Claims,Oklahoma New Claims,Oregon New Claims,Pennsylvania New Claims,Puerto Rico New Claims,Rhode Island New Claims,South Carolina New Claims,South Dakota New Claims,Tennessee New Claims,Texas New Claims,Utah New Claims,Vermont New Claims,Virgin Islands New Claims,Virginia New Claims,Washington New Claims,West Virginia New Claims,Wisconsin New Claims,Wyoming New Claims,Total New Claims
1/4/2020,4578,981,2576,3132,36720,2431,7852,875,481,4618,17060,1825,2957,11779,4434,4586,2019,5175,1658,1663,3997,9464,13207,7293,1178,7474,1555,3508,836,1099,690,15325,799,2264,44846,10759,2943,6714,27298,853,1972,7471,398,3084,12367,1518,680,10,3188,10024,1564,12854,662,335294,4578,981,2576,3132,36720,2431,7852,875,481,4618,17060,1825,2957,11779,4434,4586,2019,5175,1658,1663,3997,9464,13207,7293,1178,7474,1555,3508,836,1099,690,15325,799,2264,44846,10759,2943,6714,27298,853,1972,7471,398,3084,12367,1518,680,10,3188,10024,1564,12854,662,335294
1/11/2020,8207,2352,5069,7786,88713,5432,13838,1982,1187,11480,35022,3651,5088,24482,9324,9422,4159,9143,4179,3224,8624,18248,27452,13226,2693,18387,3310,8136,2366,2270,1412,28794,1993,5056,68160,20716,4977,12929,53654,1689,3789,12100,866,6795,34269,3352,1329,34,6831,19093,4202,21109,1491,673092,3629,1371,2493,4654,51993,3001,5986,1107,706,6862,17962,1826,2131,12703,4890,4836,2140,3968,2521,1561,4627,8784,14245,5933,1515,10913,1755,4628,1530,1171,722,13469,1194,2792,23314,9957,2034,6215,26356,836,1817,4629,468,3711,21902,1834,649,24,3643,9069,2638,8255,829,337798
1/18/2020,10690,3533,6798,11938,153571,7954,17614,2812,1781,17568,43183,4885,7260,39289,13065,13037,6561,12227,6187,4183,12363,25188,37756,17689,3828,23325,4546,12353,3151,3258,2025,39522,2940,7507,85983,28581,6958,16980,69872,4813,4983,15226,1204,9888,50052,4810,2084,74,9662,28172,6097,27497,2127,954650,2483,1181,1729,4152,64858,2522,3776,830,594,6088,8161,1234,2172,14807,3741,3615,2402,3084,2008,959,3739,6940,10304,4463,1135,4938,1236,4217,785,988,613,10728,947,2451,17823,7865,1981,4051,16218,3124,1194,3126,338,3093,15783,1458,755,40,2831,9079,1895,6388,636,281558
1/25/2020,12819,4536,8481,15413,199167,10118,20563,3486,2315,22774,48440,5899,9081,49051,16021,16152,9118,14796,8065,5127,15646,31210,45434,21620,4821,28799,5468,15697,3694,4218,2602,48847,3704,9608,101005,36667,8788,21437,83231,7148,6031,17474,1495,12372,63122,6081,2602,118,12721,36244,7387,33631,2658,1183002,2129,1003,1683,3475,45596,2164,2949,674,534,5206,5257,1014,1821,9762,2956,3115,2557,2569,1878,944,3283,6022,7678,3931,993,5474,922,3344,543,960,577,9325,764,2101,15022,8086,1830,4457,13359,2335,1048,2248,291,2484,13070,1271,518,44,3059,8072,1290,6134,531,228352
2/1/2020,14989,5658,10318,19220,242625,12167,23557,4108,2854,28231,53639,7034,10527,58394,19037,19218,11118,17421,10123,6008,18849,36733,52303,25320,5784,33600,6370,19308,4141,5051,3058,57151,4488,11894,117550,43996,10567,26290,99124,9146,7002,19573,1712,14734,76940,7371,3083,153,15296,42863,8751,39911,3187,1407545,2170,1122,1837,3807,43458,2049,2994,622,539,5457,5199,1135,1446,9343,3016,3066,2000,2625,2058,881,3203,5523,6869,3700,963,4801,902,3611,447,833,456,8304,784,2286,16545,7329,1779,4853,15893,1998,971,2099,217,2362,13818,1290,481,35,2575,6619,1364,6280,529,224543
2/8/2020,17165,6638,12042,22856,283017,14649,26501,4716,3362,33836,59216,8171,11970,68188,21762,21597,13225,20357,11928,6710,21999,42611,58930,29428,6752,37270,7305,22634,4667,5726,3565,66439,5361,14688,132560,50821,12282,31243,113549,10916,7961,21627,1935,16895,90809,8674,3558,198,18393,50024,9957,46490,3776,1626949,2176,980,1724,3636,40392,2482,2944,608,508,5605,5577,1137,1443,9794,2725,2379,2107,2936,1805,702,3150,5878,6627,4108,968,3670,935,3326,526,675,507,9288,873,2794,15010,6825,1715,4953,14425,1770,959,2054,223,2161,13869,1303,475,45,3097,7161,1206,6579,589,219404
2/15/2020,19146,7553,13644,26394,326462,16858,29021,5326,3835,39065,65493,9370,13326,76233,24318,23836,15301,23170,13667,7500,25047,48004,64517,33069,7613,40633,8226,25728,5124,6263,3989,74989,6086,17231,146893,57353,13915,35527,127132,12504,8957,23715,2129,19035,103599,9771,4101,238,21086,56335,11129,52298,4374,1836128,1981,915,1602,3538,43445,2209,2520,610,473,5229,6277,1199,1356,8045,2556,2239,2076,2813,1739,790,3048,5393,5587,3641,861,3363,921,3094,457,537,424,8550,725,2543,14333,6532,1633,4284,13583,1588,996,2088,194,2140,12790,1097,543,40,2693,6311,1172,5808,598,209179
2/22/2020,20881,8326,14699,29545,361441,18720,31456,5958,4257,43926,70523,10390,14440,88045,27297,26467,16795,25678,15465,8237,27747,57268,70459,36608,8440,43696,9021,28580,5559,6756,4433,83385,6823,19283,161037,63561,15424,39041,139763,13894,10878,25539,2320,20890,115646,10779,4711,293,23165,61920,12336,58396,4763,2034960,1735,773,1055,3151,34979,1862,2435,632,422,4861,5030,1020,1114,11812,2979,2631,1494,2508,1798,737,2700,9264,5942,3539,827,3063,795,2852,435,493,444,8396,737,2052,14144,6208,1509,3514,12631,1390,1921,1824,191,1855,12047,1008,610,55,2079,5585,1207,6098,389,198832
2/29/2020,22456,9200,16117,32631,403119,20401,34299,6482,4709,48779,76061,11439,15438,97025,29573,28707,18312,27901,16974,9099,30373,62133,75878,40018,9184,46428,9716,30347,5922,7258,5327,91158,7504,21607,192245,73477,16882,42977,151808,15190,11752,27516,2479,22904,128338,11664,5574,330,26432,67690,13444,64054,5234,2251565,1575,874,1418,3086,41678,1681,2843,524,452,4853,5538,1049,998,8980,2276,2240,1517,2223,1509,862,2626,4865,5419,3410,744,2732,695,1767,363,502,894,7773,681,2324,31208,9916,1458,3936,12045,1296,874,1977,159,2014,12692,885,863,37,3267,5770,1108,5658,471,216605
3/7/2020,24119,10015,17960,35988,446504,22266,36826,7000,5180,54104,80630,12714,16376,105752,31796,30928,19677,30364,18672,9814,33048,66845,81028,43506,10063,49422,10430,32922,6345,7759,5822,99154,8194,23916,206280,80022,18451,47131,164035,16533,12452,29405,2664,24936,142693,12679,6020,394,28959,74306,14477,69106,5768,2451450,1663,815,1843,3357,43385,1865,2527,518,471,5325,4569,1275,938,8727,2223,2221,1365,2463,1698,715,2675,4712,5150,3488,879,2994,714,2575,423,501,495,7996,690,2309,14035,6545,1569,4154,12227,1343,700,1889,185,2032,14355,1015,446,64,2527,6616,1033,5052,534,199885
3/14/2020,25938,11135,19342,39832,504110,24587,40266,7472,6393,60567,86075,14303,17407,116622,34392,33157,21432,33149,20927,10448,36912,74294,86366,47516,11210,53438,11247,36455,6760,8554,6464,108621,9063,30272,220552,87068,20287,51400,179474,17705,13560,31498,2854,27638,158869,13984,6679,438,31665,88546,15342,74296,6285,2702866,1819,1120,1382,3844,57606,2321,3440,472,1213,6463,5445,1589,1031,10870,2596,2229,1755,2785,2255,634,3864,7449,5338,4010,1147,4016,817,3533,415,795,642,9467,869,6356,14272,7046,1836,4269,15439,1172,1108,2093,190,2702,16176,1305,659,44,2706,14240,865,5190,517,251416
3/21/2020,36830,18982,28617,69180,690443,44361,65366,18248,20855,134880,98215,23120,30993,230736,94147,74109,44995,82172,93365,31907,79893,222746,214372,163289,16729,95684,26596,130538,12422,24254,35843,224436,27168,122570,300551,283377,42213,81454,556925,37853,49407,63324,4615,65715,314295,33674,10463,561,77942,218455,18878,125327,9938,5623028,10892,7847,9275,29348,186333,19774,25100,10776,14462,74313,12140,8817,13586,114114,59755,40952,23563,49023,72438,21459,42981,148452,128006,115773,5519,42246,15349,94083,5662,15700,29379,115815,18105,92298,79999,196309,21926,30054,377451,20148,35847,31826,1761,38077,155426,19690,3784,123,46277,129909,3536,51031,3653,2920162
3/28/2020,117814,32756,56373,158120,1748768,106199,98593,37385,36724,363364,232035,71716,63934,409157,233321,130075,99325,195321,190765,55677,165210,404169,518707,272384,48744,199975,47359,302683,24240,48979,67221,430689,55017,194512,667146,557665,89957,128952,961602,83247,77207,129799,11416,158215,590480,62206,25096,811,190439,401304,33401,236261,16334,11638849,80984,13774,27756,88940,1058325,61838,33227,19137,15869,228484,133820,48596,32941,178421,139174,55966,54330,113149,97400,23770,85317,181423,304335,109095,32015,104291,20763,172145,11818,24725,31378,206253,27849,71942,366595,274288,47744,47498,404677,45394,27800,66475,6801,92500,276185,28532,14633,250,112497,182849,14523,110934,6396,6015821
4/4/2020,224553,47346,118459,290548,2667582,152525,132057,56236,52053,533249,622167,124817,94838,610198,360331,194269,148631,312896,291386,86587,274706,543816,907261,382644,94596,291433,68603,440105,39365,76033,106423,645525,81149,273797,1011597,783856,150491,191740,1239242,149802,105450,216372,19554,270401,905647,95246,41570,883,337808,572556,47895,341084,22877,17850255,106739,14590,62086,132428,918814,46326,33464,18851,15329,169885,390132,53101,30904,201041,127010,64194,49306,117575,100621,30910,109496,139647,388554,110260,45852,91458,21244,137422,15125,27054,39202,214836,26132,79285,344451,226191,60534,62788,277640,66555,28243,86573,8138,112186,315167,33040,16474,72,147369,171252,14494,104823,6543,6211406
